LibraryAdministration,LibraryCode,ID,Library,Address,ZIPcode,Town,Province,Telephone,Email
Biblioteca Pública Municipal de Abengibre,54,02008092665,BIBLIOTECA PÚBLICA MUNICIPAL DE ABENGIBRE,"Castilla-La Mancha, 5",2250,Abengibre,Albacete,967090665,biblioabengibre@hotmail.com
Biblioteca Pública Municipal de Alatoz,55,02009142666,BIBLIOTECA PÚBLICA MUNICIPAL DE ALATOZ,"Cuesta de Enmedio, s/n",2152,Alatoz,Albacete,967402222,biblioalatoz@yahoo.es
Red de Bibliotecas Municipales de Albacete,60,02009721206,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Federico García Lorca, 20",2001,Albacete,Albacete,967248790,poligono.bibliotecas@ayto-albacete.es
"Sección del Libro, Archivos y Bibliotecas. Central de bibliobús.",53,02008377042,BIBLIOBÚS DE ALBACETE,"Avda. de la Estación, 2",2001,Albacete,Albacete,967596413,bibliobusab@jccm.es
Red de Bibliotecas Municipales de Albacete,752,02009721204,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Ciudad Real, 22",2002,Albacete,Albacete,967512706,parquesur.bibliotecas@ayto-albacete.es
Biblioteca Pública del Estado en Albacete,99,02001982621,BIBLIOTECA PÚBLICA DEL ESTADO EN ALBACETE,"San José de Calasanz, 14",2002,Albacete,Albacete,967558490,bp.albacete@jccm.es
Red de Bibliotecas Municipales de Albacete,751,02009726473,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Marzo, 50",2002,Albacete,Albacete,967195400,red.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,62,02009721207,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Hermanos Falco, 20",2002,Albacete,Albacete,967248990,hospital.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,69,02009721213,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Paseo de Simón Abril, s/n",2003,Albacete,Albacete,967221559,parque.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,61,02009721200,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Arquitecto Vandelvira, 73",2004,Albacete,Albacete,967503523,ensanche.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,68,02009721210,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Magallanes, 14",2005,Albacete,Albacete,967248774,industria.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,888,02009721211,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Teruel, 13",2005,Albacete,Albacete,967224388,elpilar.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,67,02009721209,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"José de Espronceda, s/n",2006,Albacete,Albacete,967248640,hnosfalco.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,64,02009721208,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"José Echegaray, 26",2006,Albacete,Albacete,967512703,sanpablo.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,936,020097210447,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Cardenal Tabera y Araoz, s/n",2006,Albacete,Albacete,967523043,saramago.bibliotecas@ayto-albacete.es
