Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades
Centro;01;Ligustrum japonicum 'variegata';300
Centro;01;Robinia pseudoacacia;320
Centro;01;Prunus cerasifera subsp. Pissartii;348
Centro;01;Ulmus pumila;367
Centro;01;Aesculus hippocastanum;510
Centro;01;Platanus x hybrida;1367
Centro;01;Sophora japonica;1585
Centro;01;Ligustrum japonicum;2646
Centro;01;Otros;3838
;;Total;11281
Arganzuela;02;Prunus cerasifera pisardii;717
Arganzuela;02;Melia azedarach;1047
Arganzuela;02;Acer negundo;1205
Arganzuela;02;Robinia pseudoacacia;1275
Arganzuela;02;Ligustrum japonicum;1284
Arganzuela;02;Ulmus pumila;1298
Arganzuela;02;Pinus pinea;1371
Arganzuela;02;Celtis australis;1434
Arganzuela;02;Sophora japonica;2414
Arganzuela;02;Platanus x hybrida;3428
Arganzuela;02;Otros;8213
;;Total;23686
Retiro;03;Prunus cerasifera subsp. Pissartii;299
Retiro;03;Aesculus hippocastanum;303
Retiro;03;Liquidambar styraciflua;328
Retiro;03;Cupressus arizonica;344
Retiro;03;Cupressus sempervirens;418
Retiro;03;Celtis australis;432
Retiro;03;Cupressocyparis leilandii;455
Retiro;03;Robinia pseudoacacia;487
Retiro;03;Pinus pinea;892
Retiro;03;Ligustrum japonicum;981
Retiro;03;Ulmus pumila;1948
Retiro;03;Sophora japonica;2297
Retiro;03;Platanus x hybrida;2585
Retiro;03;Otros;3029
;;Total;14798
Salamanca;04;Populus alba 'bolleana';361
Salamanca;04;Acer negundo;404
Salamanca;04;Prunus cerasifera pisardii;545
Salamanca;04;Robinia pseudoacacia;581
Salamanca;04;Aesculus hippocastanum;667
Salamanca;04;Ulmus pumila;912
Salamanca;04;Pinus pinea;928
Salamanca;04;Ligustrum japonicum;1854
Salamanca;04;Platanus x hybrida;2497
Salamanca;04;Sophora japonica;5921
Salamanca;04;Otros;5969
;;Total;20639
CHAMARTÍN;05;Populus alba 'bolleana';598
CHAMARTÍN;05;Aesculus hippocastanum;645
CHAMARTÍN;05;Melia azedarach;722
CHAMARTÍN;05;Ligustrum japonicum;938
CHAMARTÍN;05;Prunus cerasifera pisardii;971
CHAMARTÍN;05;Celtis australis;1146
CHAMARTÍN;05;Robinia pseudoacacia;1164
CHAMARTÍN;05;Pinus pinea;1344
CHAMARTÍN;05;Ulmus pumila;2611
CHAMARTÍN;05;Sophora japonica;3744
CHAMARTÍN;05;Platanus x hybrida;6080
CHAMARTÍN;05;Otros;6155
;;Total;26118
TETUÁN;06;Cupressus sempervirens;423
TETUÁN;06;Celtis australis;455
TETUÁN;06;Aesculus hippocastanum;466
