ID-ACTIVIDAD,TITULO,ACTIVIDAD-URI,PRECIO,DIAS,FECHA,DESCRIPCION,INFORMACION-ACTIVIDAD,INFORMACION-UBICACION,UBICACION,UBICACION-URI,DIRECCION,DISTRITO,BARRIO,C.P,LATITUD,LONGITUD,TIPOACTIVIDAD
11224300,27 horas,27 horas,,,16/12/2020 19:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a707ca1f2ea4710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Conde Duque,Centro Cultural Conde Duque,"Calle Conde Duque, 11. 28015, Madrid",Centro,Universidad,28015,40.42802889001877,-3.710182353581842,cultura
11224945,34.º Certamen Coreográfico de Madrid,34.º Certamen Coreográfico de Madrid,15,"L,M,X,J,V,S,D",09/12/2020 - 13/12/2020,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5067ff644b4710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Conde Duque,Centro Cultural Conde Duque,"Calle Conde Duque, 11. 28015, Madrid",Centro,Universidad,28015,40.42802889001877,-3.710182353581842,danza
11224370,5.ª Edición Festival Cuerpo Romo,5.ª Edición Festival Cuerpo Romo,,"V,S,D",23/10/2020 - 25/10/2020,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9b27ca1f2ea4710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Conde Duque,Centro Cultural Conde Duque,"Calle Conde Duque, 11. 28015, Madrid",Centro,Universidad,28015,40.42802889001877,-3.710182353581842,danza
11214463,Actividades artísticas usando materiales como pizarra y tejas.,Actividades artísticas usando materiales como pizarra y tejas.,0,"L,M,X,J,V,S,D",28/09/2020 - 30/09/2020,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48dd79db15034710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD,Centro Juvenil Tetuán Punto Joven,Centro Juvenil Tetuán Punto Joven,"Calle Dulcinea, 4. 28020, Madrid",Tetuan,Cuatro Caminos,28020,40.447199849232135,-3.6998771920981004,arte urbano
11169772,Actividades de participación en el Fernán Gómez,Actividades de participación en el Fernán Gómez,,"L,M,X,J,V,S,D",01/09/2020 - 01/01/2021,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdfa992a7c9c1710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD,Fernán Gómez Centro Cultural de la Villa,Fernán Gómez Centro Cultural de la Villa,"Plaza Colon, 4. 28001, Madrid",Salamanca,Recoletos,28001,40.424926347610764,-3.6899208519663427,taller
11225113,"Agustí Fernández, Torben Snekkestad y Barry Guy","Agustí Fernández, Torben Snekkestad y Barry Guy",15,,13/11/2020 20:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=851667ff644b4710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Conde Duque,Centro Cultural Conde Duque,"Calle Conde Duque, 11. 28015, Madrid",Centro,Universidad,28015,40.42802889001877,-3.710182353581842,cultura
11138238,Al encuentro con Rafael de León,Al encuentro con Rafael de León,0,,09/10/2020 19:00,"Copla   ANTONIO HARANA presenta 'Al encuentro con Rafael de León'  Espectáculo musical-literario, un recorrido por los hitos biográficos y artísticos del gran poeta y letrista sevillano. Entre flamenco, coplas y poemas se sumerge al espectador en el mundo de la copla, la canción andaluza y la española, y con ella sus principales protagonistas: Miguel de Molina, Federico García Lora, Concha Piquer, Juana Reina, Lola Flores, Rocío Jurado, todos artistas que convivieron de una u otra manera con Rafael de León.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=75050eac59c50710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural el Madroño,Centro Cultural el Madroño,"Calle Villardondiego, 36. 28032, Madrid",Vicalvaro,Casco H.Vicalvaro,28032,40.405292721436055,-3.6086161200017157,música
11223035,Alegría,Alegría,,"M,X,J,V,S,D",24/09/2020 - 31/07/2021,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=606131cecb794710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD,Teatro Español,Teatro Español,"Calle Principe, 25. 28012, Madrid",Centro,Cortes,28012,40.41482868269558,-3.7001663599562105,exposición
11231982,Alegría,Alegría.,,,21/11/2020 12:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9a9da41bcfb4710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Parque Quinta de los Molinos,Parque Quinta de los Molinos,"Calle Juan Ignacio Luca De Tena, 20. 28027, Madrid",San Blas-canillejas,El Salvador,28027,40.44774002225867,-3.6292874542291638,taller
11231984,Alegría,Alegría.,,,29/11/2020 12:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca9da41bcfb4710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Parque Quinta de los Molinos,Parque Quinta de los Molinos,"Calle Juan Ignacio Luca De Tena, 20. 28027, Madrid",San Blas-canillejas,El Salvador,28027,40.44774002225867,-3.6292874542291638,taller
11231985,Alegría,Alegría.,,,05/12/2020 17:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=70b9da41bcfb4710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Parque Quinta de los Molinos,Parque Quinta de los Molinos,"Calle Juan Ignacio Luca De Tena, 20. 28027, Madrid",San Blas-canillejas,El Salvador,28027,40.44774002225867,-3.6292874542291638,taller
11231981,Alegría,Alegría.,,,15/11/2020 12:30,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=67a9da41bcfb4710VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Parque Quinta de los Molinos,Parque Quinta de los Molinos,"Calle Juan Ignacio Luca De Tena, 20. 28027, Madrid",San Blas-canillejas,El Salvador,28027,40.44774002225867,-3.6292874542291638,taller
11218087,Alfabetización tecnológica: conociendo el entorno virtual,Alfabetización tecnológica: conociendo el entorno virtual,0,X,16/09/2020 - 30/09/2020 11:00,"La comunicación telemática se ha transformado en nuestra ventana abierta al mundo y a las relaciones personales. Nuestros dispositivos móviles son una herramienta fundamental para comunicarnos, compartir y tener acceso a la información.  En este taller de empoderamiento y apropiación de las tecnologías de la información y comunicación, aprenderás a sacarle partido a Internet, realizar videollamadas, acceder a plataformas virtuales para realizar actividades en grupo y a usar diferentes aplicación que nos den mayor autonomía en el entorno virtual.   Cada semana te enviaremos un enlace para que puedas acceder a un videotutorial y, desde ahí, iremos resolviendo juntas cualquier duda o dificultad que te surja.   Taller virtual dirigido a mujeres.  Se requiere inscripción previa en el Espacio vía telefónica o por correo electrónico.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e355c3a20f764710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a38fb412e9a2610VgnVCM2000001f4a900aRCRD,Espacio de Igualdad Berta Cáceres,Espacio de Igualdad Berta Cáceres,"Calle Gran Avenida, 14. 28041, Madrid",Usera,Orcasitas,28041,40.36902428128397,-3.710212677306876,taller
