PR_ID,DISTRITO,DIRECCION,DIRECCIÓN_COMPLETA,EMPLAZAMIENTO,Nº CARGADORES,OPERADOR,COORX,COORY,LONGITUD,LATITUD,COORDENADA_COMPLETA
0,Arganzuela,"Calle Chulapos s/n, Arganzuela","Calle Chulapos s/n, Arganzuela, Madrid",Vía pública,1,REPSOL,"438893,73","4473226,26",-3.7201631,40.4074098,"40.4074098, -3.7201631"
1,Arganzuela,"Ronda de Valencia 1, Arganzuela","Ronda de Valencia 1, Arganzuela, Madrid",Vía pública,1,GIC,"440624,23","4473016,22",-3.6997503,40.4056429,"40.4056429, -3.6997503"
2,Barajas,"Calle Medina del Pomar 22, Barajas","Calle Medina del Pomar 22, Barajas, Madrid",Otros,1,ELECTRIC CHARGE SPAIN,"450446,39","4478105,29",-3.584398,40.4521312,"40.4521312, -3.584398"
3,Carabanchel,"Avenida de la Peseta 6, Carabanchel","Avenida de la Peseta 6, Carabanchel, Madrid",Estación de servicio,1,REPSOL,"434997,82","4468934,81",-3.7656363,40.3684557,"40.3684557, -3.7656363"
4,Centro,"Calle Génova 24, Centro","Calle Génova 24, Centro, Madrid",Vía pública,1,GIC,441259,4475260,-3.6924771,40.425901,"40.425901, -3.6924771"
5,Centro,"Calle San Bernardo 14, Centro","Calle San Bernardo 14, Centro, Madrid",Vía pública,1,REPSOL,439969,4474882,-3.7076477,40.4224037,"40.4224037, -3.7076477"
6,Centro,"Plaza de Jacinto Benavente 6, Centro","Plaza de Jacinto Benavente 6, Centro, Madrid",Aparcamiento,1,EMT,"440341,55","4474015,14",-3.7031751,40.4146214,"40.4146214, -3.7031751"
7,Centro,"Plaza de la Cebada, Centro","Plaza de la Cebada, Centro, Madrid",Aparcamiento,2,DRIVE THE CITY,"439749,07","4473590,81",-3.7101178,40.4107562,"40.4107562, -3.7101178"
8,Chamartín,"Paseo Castellana 160, Chamartín","Paseo Castellana 160, Chamartín, Madrid",Vía pública,1,REPSOL,"441528,45","4478870,2",-3.6896332,40.4584423,"40.4584423, -3.6896332"
9,Chamartín,"Calle Cardenal Marcelo Spínola 10, Chamartín","Calle Cardenal Marcelo Spínola 10, Chamartín, Madrid",Vía pública,1,GIC,"443204,66","4479841,35",-3.6699516,40.4673071,"40.4673071, -3.6699516"
10,Chamartín,"Calle Hiedra 36, Chamartín","Calle Hiedra 36, Chamartín, Madrid",Aparcamiento,1,EMT,"442442,16","4480402,5",-3.6789963,40.4723097,"40.4723097, -3.6789963"
11,Chamberí,"Paseo Castellana 33, Chamberí","Paseo Castellana 33, Chamberí, Madrid",Vía pública,1,GIC,"441547,43","4475930,09",-3.6891388,40.4319578,"40.4319578, -3.6891388"
12,Chamberí,"Paseo Castellana 106, Chamberí","Paseo Castellana 106, Chamberí, Madrid",Vía pública,1,REPSOL,"441420,49","4477426,85",-3.6907733,40.4454324,"40.4454324, -3.6907733"
13,Chamberí,"Calle Fernández de los Ríos 42, Chamberí","Calle Fernández de los Ríos 42, Chamberí, Madrid",Vía pública,1,REPSOL,"439847,45","4476302,27",-3.7092149,40.4351894,"40.4351894, -3.7092149"
14,Chamberí,"Calle Fuencarral 114, Chamberí","Calle Fuencarral 114, Chamberí, Madrid",Vía pública,1,REPSOL,"440414,18","4475676,4",-3.7024748,40.429592,"40.429592, -3.7024748"
