Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Singapore,SGP,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888592414402
Singapore,SGP,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888592414402
Singapore,SGP,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.930888592414402
Singapore,SGP,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.947666259702659
Singapore,SGP,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,103.399.438.364.163
Singapore,SGP,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,103.693.182.279.995
Singapore,SGP,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,10.541.311.135.417
Singapore,SGP,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999999982970102
Singapore,SGP,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,0.999999982970102
Singapore,SGP,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,115.107.915.384.306
Singapore,SGP,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,108.069.161.889.042
Singapore,SGP,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,110.304.785.723.089
Singapore,SGP,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,116.110.303.948.317
Singapore,SGP,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,116.448.332.963.339
Singapore,SGP,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,177.777.784.842.033
Singapore,SGP,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,179.104.484.728.913
Singapore,SGP,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,298.507.462.686.567
Singapore,SGP,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,298.507.462.686.567
Singapore,SGP,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,447.761.194.029.851
Singapore,SGP,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,447.761.194.029.851
