Centro_codigo,Centro_nombre,Centro_tipo_codigo,Centro_tipo_descripcion,Centro_titularidad,Direccion,Direccion_codigo_postal,Municipio_codigo,Municipio_nombre,Distrito_codigo,Distrito_nombre,Contacto_telefono,Contacto_fax,Contacto_web,Contacto_email,Direccion_coor_x,Direccion_coor_y
28000029,SAN BLAS,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE Víctor Hurtado s/n,28864,002,Ajalvir,,,918844589,918844211,http://www.educa.madrid.org/cp.sanblas.ajalvir,cp.sanblas.ajalvir@educa.madrid.org,458832,4487797
28000042,EL ALAMO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE del Río Alagón 1,28607,004,"Álamo, El",,,918120652,918122834,http://www.educa.madrid.org/cp.elalamo.elalamo,cp.elalamo.elalamo@educa.madrid.org,415961,4453703
28000054,ANTONIO DE NEBRIJA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE San Ignacio de Loyola 13,28806,005,Alcalá de Henares,,,918882368,918882368,http://www.educa.madrid.org/cp.antoniodenebrija.alcala,cp.antoniodenebrija.alcala@educa.madrid.org,468386,4482313
28000066,CARDENAL CISNEROS,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE San Juan 2,28801,005,Alcalá de Henares,,,918880447,918837578,http://www.educa.madrid.org/cp.cardenalcisnero.alcala,cp.cardenalcisnero.alcala@educa.madrid.org,468658,4481259
28000078,CERVANTES,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Giner de los Ríos 5,28800,005,Alcalá de Henares,,,918889973,918816276,http://www.educa.madrid.org/cp.cervantes.alcala,cp.cervantes.alcala@educa.madrid.org,469547,4481511
28000081,DAOIZ Y VELARDE,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Infantado 2,28807,005,Alcalá de Henares,,,918880958,918880958,http://www.educa.madrid.org/cp.daoizyvelarde.alcala,cp.daoizyvelarde.alcala@educa.madrid.org,468826,4481956
28000111,REYES CATOLICOS,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE San Vidal 4,28803,005,Alcalá de Henares,,,918880143,918880143,http://www.educa.madrid.org/cp.reyescatolicos.alcala,cp.reyescatolicos.alcala@educa.madrid.org,468146,4480586
28000157,SAGRADO CORAZON DE JESUS,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Escritorios 6,28801,005,Alcalá de Henares,,,918880654,918836927,http://www.colegiofilipensealcaladehenares.es,cc.scorazondejesus.alcala@educa.madrid.org,468895,4481221
28000224,SAN FELIPE NERI,015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE San Felipe Neri 4,28801,005,Alcalá de Henares,,,918881397,918881397,www.colegiosanfelipe.es,cc.sanfelipeneri.alcala@educa.madrid.org,468721,4481288
28000303,ESCUELAS PIAS,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA Lope de Figueroa 27,28804,005,Alcalá de Henares,,,918893158,918820850,http://www.escolapiosalcala.es,cc.escuelaspias.alcala@educa.madrid.org,470018,4481495
